hoogte;y;x;meteostationid;naam
0.0;52.465;4.518;209;IJMOND
-0.2;52.171;4.43;210;Valkenburg
-1.1;52.141;4.437;215;VOORSCHOTEN
4.4;52.463;4.555;225;IJMUIDEN
0.57;52.928;4.783;235;De Kooy
-4.18;52.318;4.79;240;Schiphol
1.72;52.241;4.921;242;Vlieland
0.8;52.634;5.174;248;WIJDENES
-2.4;52.644;4.979;249;Berkhout
0.73;52.392;5.346;251;Hoorn Terschelling
8.5;52.506;4.603;257;Wijk aan Zee
7.3;52.649;5.401;258;HOUTRIBDIJK
2.0;52.1;5.18;260;De Bilt
14.0;52.13;5.274;265;Soesterberg
-1.3;52.898;5.384;267;Stavoren
-4.41;52.458;5.52;269;Lelystad
0.27;52.224;5.752;270;Leeuwarden
-3.35;52.703;5.888;273;Marknesse
45.23;52.056;5.873;275;Deelen
2.9;52.413;6.2;277;Lauwersoog
3.6;52.435;6.259;278;Heino
15.82;52.75;6.574;279;Hoogeveen
3.23;53.125;6.585;280;Eelde
29.7;52.069;6.657;283;Hupsel
0.0;53.575;6.399;285;HUIBERTGAT
-0.2;53.196;7.15;286;Nieuw Beerta
33.02;52.274;6.891;290;Twenthe
0.0;51.381;3.379;308;CADZAND
8.03;51.442;3.596;310;Vlissingen
0.0;51.379;3.672;311;HOOFDPLAAT
0.0;51.768;3.622;312;OOSTERSCHELDE
0.0;51.505;3.242;313;VLAKTE V.D. RAAN
0.0;51.447;3.998;315;HANSWEERT
0.0;51.657;3.694;316;SCHAAR
1.68;51.226;3.861;319;Westdorpe
1.65;51.527;3.884;323;Wilhelminadorp
0.0;51.596;4.006;324;STAVENISSE
11.86;51.992;4.122;330;Hoek van Holland
0.0;51.48;4.193;331;THOLEN
15.04;51.449;4.342;340;Woensdrecht
3.5;51.893;4.313;343;ROTTERDAM-GEULHAVEN
-5.14;51.962;4.447;344;Rotterdam
-0.71;51.97;4.926;348;Cabauw
11.95;51.566;4.936;350;Gilze-Rijen
0.66;51.859;5.146;356;Herwijnen
20.69;51.451;5.377;370;Eindhoven
19.85;51.659;5.707;375;Volkel
30.0;51.198;5.763;377;Ell
112.72;50.906;5.762;380;Maastricht
19.5;51.498;6.197;391;Arcen
